,years,Busan
2006-01-01,2006-01-01,53.04
2006-07-01,2006-07-01,52.68
2007-01-01,2007-01-01,52.75
2007-07-01,2007-07-01,52.92
2008-01-01,2008-01-01,53.94
2008-07-01,2008-07-01,55.72
2009-01-01,2009-01-01,56.33
2009-07-01,2009-07-01,58.09
2010-01-01,2010-01-01,61.97
2010-07-01,2010-07-01,66.45
2011-01-01,2011-01-01,75.21
2011-07-01,2011-07-01,82.65
2012-01-01,2012-01-01,83.61
2012-07-01,2012-07-01,81.64
2013-01-01,2013-01-01,80.61
2013-07-01,2013-07-01,80.43
2014-01-01,2014-01-01,80.91
2014-07-01,2014-07-01,81.54
2015-01-01,2015-01-01,82.84
2015-07-01,2015-07-01,84.92
2016-01-01,2016-01-01,86.2
2016-07-01,2016-07-01,88.06
2017-01-01,2017-01-01,90.33
2017-07-01,2017-07-01,91.43
2018-01-01,2018-01-01,90.58
2018-07-01,2018-07-01,88.81
2019-01-01,2019-01-01,87.0
2019-07-01,2019-07-01,85.47
2020-01-01,2020-01-01,85.79
2020-07-01,2020-07-01,88.52
2021-01-01,2021-01-01,96.81
2021-07-01,2021-07-01,103.7
2022-01-01,2022-01-01,105.74
