,years,Gyeonggi
2006-01-01,2006-01-01,56.07
2006-07-01,2006-07-01,62.4
2007-01-01,2007-01-01,71.77
2007-07-01,2007-07-01,73.33
2008-01-01,2008-01-01,76.19
2008-07-01,2008-07-01,78.48
2009-01-01,2009-01-01,75.23
2009-07-01,2009-07-01,76.12
2010-01-01,2010-01-01,75.86
2010-07-01,2010-07-01,73.79
2011-01-01,2011-01-01,74.3
2011-07-01,2011-07-01,74.62
2012-01-01,2012-01-01,73.94
2012-07-01,2012-07-01,71.7
2013-01-01,2013-01-01,69.84
2013-07-01,2013-07-01,69.77
2014-01-01,2014-01-01,70.77
2014-07-01,2014-07-01,71.46
2015-01-01,2015-01-01,73.25
2015-07-01,2015-07-01,75.68
2016-01-01,2016-01-01,76.51
2016-07-01,2016-07-01,77.01
2017-01-01,2017-01-01,77.44
2017-07-01,2017-07-01,78.38
2018-01-01,2018-01-01,78.97
2018-07-01,2018-07-01,79.53
2019-01-01,2019-01-01,79.16
2019-07-01,2019-07-01,78.62
2020-01-01,2020-01-01,82.3
2020-07-01,2020-07-01,87.2
2021-01-01,2021-01-01,95.24
2021-07-01,2021-07-01,106.54
2022-01-01,2022-01-01,109.34
