,years,Gwangju
2006-01-01,2006-01-01,59.39
2006-07-01,2006-07-01,60.34
2007-01-01,2007-01-01,60.77
2007-07-01,2007-07-01,60.9
2008-01-01,2008-01-01,61.51
2008-07-01,2008-07-01,62.58
2009-01-01,2009-01-01,62.46
2009-07-01,2009-07-01,62.29
2010-01-01,2010-01-01,62.75
2010-07-01,2010-07-01,63.63
2011-01-01,2011-01-01,68.88
2011-07-01,2011-07-01,76.94
2012-01-01,2012-01-01,80.54
2012-07-01,2012-07-01,81.8
2013-01-01,2013-01-01,82.44
2013-07-01,2013-07-01,82.84
2014-01-01,2014-01-01,83.46
2014-07-01,2014-07-01,84.29
2015-01-01,2015-01-01,86.79
2015-07-01,2015-07-01,90.16
2016-01-01,2016-01-01,91.17
2016-07-01,2016-07-01,91.13
2017-01-01,2017-01-01,91.36
2017-07-01,2017-07-01,91.75
2018-01-01,2018-01-01,92.57
2018-07-01,2018-07-01,94.17
2019-01-01,2019-01-01,95.33
2019-07-01,2019-07-01,94.81
2020-01-01,2020-01-01,94.9
2020-07-01,2020-07-01,95.18
2021-01-01,2021-01-01,98.24
2021-07-01,2021-07-01,103.41
2022-01-01,2022-01-01,106.51
