,years,Incheon
2006-01-01,2006-01-01,52.78
2006-07-01,2006-07-01,55.09
2007-01-01,2007-01-01,61.42
2007-07-01,2007-07-01,65.34
2008-01-01,2008-01-01,71.76
2008-07-01,2008-07-01,80.46
2009-01-01,2009-01-01,79.57
2009-07-01,2009-07-01,79.78
2010-01-01,2010-01-01,79.79
2010-07-01,2010-07-01,78.18
2011-01-01,2011-01-01,77.83
2011-07-01,2011-07-01,76.94
2012-01-01,2012-01-01,75.7
2012-07-01,2012-07-01,73.34
2013-01-01,2013-01-01,71.21
2013-07-01,2013-07-01,71.47
2014-01-01,2014-01-01,72.99
2014-07-01,2014-07-01,73.92
2015-01-01,2015-01-01,75.4
2015-07-01,2015-07-01,77.52
2016-01-01,2016-01-01,78.27
2016-07-01,2016-07-01,78.92
2017-01-01,2017-01-01,79.24
2017-07-01,2017-07-01,80.08
2018-01-01,2018-01-01,80.43
2018-07-01,2018-07-01,80.1
2019-01-01,2019-01-01,80.07
2019-07-01,2019-07-01,80.0
2020-01-01,2020-01-01,83.37
2020-07-01,2020-07-01,87.19
2021-01-01,2021-01-01,94.02
2021-07-01,2021-07-01,106.52
2022-01-01,2022-01-01,109.81
