,years,Ulsan
2006-01-01,2006-01-01,57.61
2006-07-01,2006-07-01,62.03
2007-01-01,2007-01-01,68.03
2007-07-01,2007-07-01,69.83
2008-01-01,2008-01-01,71.0
2008-07-01,2008-07-01,71.45
2009-01-01,2009-01-01,70.8
2009-07-01,2009-07-01,72.36
2010-01-01,2010-01-01,74.36
2010-07-01,2010-07-01,75.7
2011-01-01,2011-01-01,79.53
2011-07-01,2011-07-01,85.64
2012-01-01,2012-01-01,91.91
2012-07-01,2012-07-01,92.92
2013-01-01,2013-01-01,92.53
2013-07-01,2013-07-01,92.73
2014-01-01,2014-01-01,93.67
2014-07-01,2014-07-01,95.78
2015-01-01,2015-01-01,97.3
2015-07-01,2015-07-01,99.5
2016-01-01,2016-01-01,101.07
2016-07-01,2016-07-01,101.0
2017-01-01,2017-01-01,100.59
2017-07-01,2017-07-01,99.46
2018-01-01,2018-01-01,96.77
2018-07-01,2018-07-01,91.41
2019-01-01,2019-01-01,86.69
2019-07-01,2019-07-01,85.03
2020-01-01,2020-01-01,86.88
2020-07-01,2020-07-01,90.29
2021-01-01,2021-01-01,98.4
2021-07-01,2021-07-01,102.92
2022-01-01,2022-01-01,104.38
